year,station,month,rainfall,stationindex,rain,sdrain,rainsd,period,rain3sd,latitude,longitude,_merge
2014,Ambagan_ctg,12,0,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,2,40,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,10,107,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,3,32,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2014,Ambagan_ctg,1,0,1,3156,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,7,1466,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,12,9,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,3,18,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,11,4,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,6,699,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,10,349,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,9,390,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,5,110,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,2,0,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,4,292,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,1,4,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2015,Ambagan_ctg,8,586,1,3927,294.90668,575.89478,2013,343.1962,22.35,91.816597,matched (3)
2016,Ambagan_ctg,11,96,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,7,583,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,5,274,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,1,2,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,3,65,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,2,17,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,4,36,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,8,390,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,6,268,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,9,386,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,10,157,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2016,Ambagan_ctg,12,0,1,2274,294.90668,575.89478,2016,189.89017,22.35,91.816597,matched (3)
2000,Barisal,3,50,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,1,19,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,12,0,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,4,135,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,5,246,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
2000,Barisal,2,16,2,1770,193.17441,329.83051,1998,129.50079,22.700001,90.360001,matched (3)
